creat ph0.
0 0
creat ph1.
1 1
creat ph2.
2 2
creat ph3.
3 3
creat ph4.
4 4
time	:ph0	ph1	ph2	ph3	ph4
224	:think	think	think	think	think	
225	:think	think	think	think	think	
226	:think	think	think	think	think	
227	:think	think	think	think	think	
228	:think	think	think	think	think	
229	:think	think	think	think	think	
230	:think	think	think	think	think	
231	:think	think	think	think	think	
232	:think	think	think	think	think	
233	:think	think	think	think	think	
234	:think	think	think	think	think	
235	:think	think	think	think	think	
236	:think	think	think	think	think	
237	:think	think	think	think	think	
238	:think	think	think	think	think	
239	:think	think	think	think	think	
240	:think	think	think	think	think	
241	:think	think	think	think	think	
242	:think	think	think	think	think	
243	:think	think	think	think	think	
244	:think	think	think	think	think	
245	:think	think	think	think	think	
246	:think	think	think	think	think	
247	:think	think	think	think	think	
248	:think	think	think	think	think	
249	:think	think	think	think	think	
250	:think	think	think	think	think	
251	:think	think	think	think	think	
252	:think	think	think	think	think	
253	:think	think	think	think	think	
254	:think	think	think	think	think	
255	:think	think	think	think	think	
256	:think	think	think	think	think	
257	:think	think	think	think	think	
258	:think	think	think	think	think	
259	:think	think	think	think	think	
260	:think	think	think	think	think	
261	:think	think	think	think	think	
262	:think	think	think	think	think	
263	:think	think	think	think	think	
264	:think	think	think	think	think	
265	:think	think	think	think	think	
266	:think	think	think	think	think	
267	:think	think	think	think	think	
268	:think	think	think	think	think	
269	:think	think	think	think	think	
270	:think	think	think	think	think	
271	:think	think	think	think	think	
272	:think	think	think	think	think	
273	:think	think	think	think	think	
274	:think	think	think	think	think	
275	:think	think	think	think	think	
276	:think	think	think	think	think	
277	:think	think	think	think	think	
278	:think	think	think	think	think	
279	:think	think	think	think	think	
280	:think	think	think	think	think	
281	:think	think	think	think	think	
282	:think	think	think	think	think	
283	:think	think	think	think	think	
284	:think	think	think	think	think	
285	:think	think	think	think	think	
286	:think	think	think	think	think	
287	:think	think	think	think	think	
288	:think	think	think	think	think	
289	:think	think	think	think	think	
290	:think	think	think	think	think	
291	:think	think	think	think	think	
292	:think	think	think	think	think	
293	:think	think	think	think	think	
294	:think	think	think	think	think	
295	:think	think	think	think	think	
296	:think	think	think	think	think	
297	:think	think	think	think	think	
298	:think	think	think	think	think	
299	:think	think	think	think	think	
300	:think	think	think	think	think	
301	:think	think	think	think	think	
302	:think	think	think	think	think	
303	:think	think	think	think	think	
304	:think	think	think	think	think	
305	:think	think	think	think	think	
306	:think	think	think	think	think	
307	:think	think	think	think	think	
308	:think	think	think	think	think	
309	:think	think	think	think	think	
310	:think	think	think	think	think	
311	:think	think	think	think	think	
312	:think	think	think	think	think	
313	:think	think	think	think	think	
314	:think	think	think	think	think	
315	:think	think	think	think	think	
316	:think	think	think	think	think	
317	:think	think	think	think	think	
318	:think	think	think	think	think	
319	:think	think	think	think	think	
320	:think	think	think	think	think	
321	:think	think	think	think	think	
322	:think	think	think	think	think	
323	:think	think	think	think	think	
324	:think	think	think	think	think	
325	:think	think	think	think	think	
326	:think	think	think	think	think	
327	:think	think	think	think	think	
328	:think	think	think	think	think	
329	:think	think	think	think	think	
330	:think	think	think	think	think	
331	:think	think	think	think	think	
332	:think	think	think	think	think	
333	:think	think	think	think	think	
334	:think	think	think	think	think	
335	:think	think	think	think	think	
336	:think	think	think	think	think	
337	:think	think	think	think	think	
338	:think	think	think	think	think	
